alpha,delta,A_alpha,B_alpha,C_alpha
1.5,3.1456970493438103e-09,71316.39219168,15114486248562.688,47543.59479445333
1.5,3.421736601334132e-09,68379.19776937198,13322903101835.639,45585.46517958132
1.5,3.721999030819589e-09,65562.96949351381,11743683784010.838,43707.97966234254
1.5,4.048609930998349e-09,62862.72546420981,10351655923988.363,41907.816976139875
1.5,4.403881419004314e-09,60273.68895736967,9124630936890.39,40181.79263824644
1.5,4.790328503657331e-09,57791.27997469743,8043050343425.4375,38526.85331646495
1.5,5.210686889507574e-09,55411.107141687724,7089674012494.633,36940.071427791816
1.5,5.667932343211246e-09,53128.95993929594,6249305357702.77,35418.63995953063
1.5,6.16530175933409e-09,50940.80125554232,5508549107474.5,33959.86750369488
1.5,6.706316074710306e-09,48842.7602438721,4855597787689.556,32561.173495914732
1.5,7.294805193570234e-09,46831.125475638815,4280043513422.4956,31220.083650425877
1.5,7.93493509988459e-09,44902.33837459777,3772712089793.311,29934.22558306518
1.5,8.631237348857143e-09,43052.98692179416,3325516777536.4536,28701.32461452944
1.5,9.388641146339095e-09,41279.799619711404,2931329392347.6167,27519.19974647427
1.5,1.0212508243259302e-08,39579.6397050015,2583866683362.982,26385.759803334335
1.5,1.110867089209251e-08,37949.49959955898,2277590179671.4434,25298.99973303932
1.5,1.2083473134063268e-08,36386.495590124025,2007617908437.9807,24256.997060082682
1.5,1.3143815709363002e-08,34887.862727001746,1769646577446.294,23257.90848466783
1.5,1.4297204908304728e-08,33450.949932874006,1559882981669.5198,22299.966621916003
1.5,1.5551805709238663e-08,32073.21531305107,1374983540506.425,21381.47687536738
1.5,1.6916499579398304e-08,30752.22165886696,1212001001921.3809,20500.81443924464
1.5,1.840094734785578e-08,29485.632136264278,1068337463965.1187,19656.421424176184
1.5,2.001565759567169e-08,28271.206151941366,941702964850.7217,18846.804101294245
1.5,2.177206104738152e-08,27106.79538974901,830078981520.7552,18070.530259832674
1.5,2.368259149044462e-08,25990.34001032517,731686254881.6022,17326.226673550114
1.5,2.5760773795493982e-08,24919.865007244982,644956428847.0895,16612.576671496656
1.5,2.802131966049255e-08,23893.476713240016,568507051124.6571,15928.317808826678
1.5,3.048023175658059e-08,22909.35945030615,501119537262.6867,15272.239633537434
1.5,3.315491701287467e-08,21965.77231777424,441719746711.28656,14643.181545182828
1.5,3.606430984217448e-08,21061.046112661777,389360861283.6779,14040.030741774519
1.5,3.922900617990696e-08,20193.580376857575,343208293105.02203,13461.720251238383
1.5,4.2671409285185624e-08,19361.840565915794,302526381485.0651,12907.227043943863
1.5,4.641588833612773e-08,18564.355334451127,266666666666.00052,12375.570222967419
1.5,5.0488950942143935e-08,17799.713933332976,235057553531.94992,11865.809288888651
1.5,5.49194307944356e-08,17066.56371407425,207195200522.1038,11377.0424760495
1.5,5.973869178310005e-08,16363.60773599996,182635488519.0173,10908.405157333307
1.5,6.498085002581279e-08,15689.602471962784,160986941698.1005,10459.068314641856
1.5,7.068301537985341e-08,15043.355608547068,141904487498.37125,10028.237072364713
1.5,7.688555414716741e-08,14423.72393686979,125083956249.92163,9615.149291246527
1.5,8.363237483218501e-08,13829.611330247226,110257232783.49896,9219.074220164817
1.5,9.097123897530988e-08,13259.966805149896,97187982740.04158,8839.311203433264
1.5,9.895409926250376e-08,12713.782662015696,85667885458.58708,8475.188441343797
1.5,1.0763746730448541e-07,12190.092702632237,75513313395.70044,8126.061801754825
1.5,1.1708281368909704e-07,11687.970520934883,66562405147.177704,7791.313680623255
1.5,1.2735700313885552e-07,11206.527864197022,58672485416.70518,7470.351909464681
1.5,1.3853276785421932e-07,10744.913061713503,51717790806.40402,7162.608707809002
1.5,1.5068922239342416e-07,10302.309518197593,45587465178.91456,6867.5396787983955
1.5,1.6391242373378453e-07,9877.934269226174,40183792637.57978,6584.622846150783
1.5,1.7829598047919966e-07,9471.036596177868,35420639958.86404,6313.357730785246
1.5,1.939417155265149e-07,9080.89669821393,31222083649.759243,6053.264465475953
1.5,2.1096038688183258e-07,8706.824418952609,27521199745.807606,5803.882945968406
1.5,2.294724717295179e-07,8348.158025584424,24258997059.41602,5564.7720170562825
1.5,2.4960901930441587e-07,8004.263038268677,21383476874.700756,5335.508692179118
1.5,2.715125786048606e-07,7674.531107740416,18848804100.627594,5115.687405160277
1.5,2.9533820751386784e-07,7358.3789391423115,16614576670.82997,4904.919292761541
1.5,3.2125457047220123e-07,7055.247260177676,14645181544.516161,4702.831506785117
1.5,3.4944513247386884e-07,6764.599831759335,12909227043.277224,4509.066554506223
1.5,3.8010945783648106e-07,6485.922499404202,11379042475.382845,4323.281666269469
1.5,4.1346462294062107e-07,6218.722283695465,10030237071.698034,4145.14818913031
1.5,4.4974675293918027e-07,5962.526508203359,8841311202.766596,3974.3510054689064
1.5,4.892126933152029e-07,5716.881963321891,7793313679.956604,3810.5879755479273
1.5,5.321418281213915e-07,5481.354104542329,6869539678.131737,3653.5694030282193
1.5,5.788380577728086e-07,5255.526283745201,6055264464.80928,3503.0175224968007
1.5,6.296319503938047e-07,5038.999012150935,5337508691.51245,3358.6660081006235
1.5,6.848830819488135e-07,4831.389253625317,4704831506.118461,3220.259502416878
1.5,7.449825817230663e-07,4632.329747089661,4147148188.463648,3087.553164726441
1.5,8.103559011729893e-07,4441.468356837005,3655569402.361549,2960.3122378913363
1.5,8.814658257473113e-07,4258.46744960502,3222259501.7502112,2838.3116330700136
1.5,9.588157509999107e-07,4083.0032973037205,2840311632.4033527,2721.3355315358135
1.5,1.0429532461863896e-06,3914.7655043413824,2503637638.3570895,2609.177002894255
1.5,1.1344739305714942e-06,3753.4564585356306,2206871018.187455,2501.6376390237538
1.5,1.2340256898882342e-06,3598.790804638313,1945281384.2853959,2398.5272030922088
1.5,1.342313262797505e-06,3450.494939542864,1714699061.6309798,2299.663293028576
1.5,1.4601032298162907e-06,3308.3065282811863,1511448624.189667,2204.871018854124
1.5,1.588229440031669e-06,3171.974039953836,1332290309.5169582,2113.9826933025574
1.5,1.7275989140169765e-06,3041.256302772564,1174368377.7344863,2026.8375351817094
1.5,1.8791982647375713e-06,2915.922077428094,1035165591.7322384,1943.2813849520626
1.5,2.044100681900524e-06,2795.7496480284403,912463093.0224379,1863.1664320189602
1.5,2.223473529191285e-06,2680.5264298841275,804305033.6759453,1786.350953256085
1.5,2.418586608179083e-06,2570.0485934464646,708967400.5828648,1712.699062297643
1.5,2.6308211473921996e-06,2464.120703733641,624930535.1036782,1642.0804691557607
1.5,2.8616795801978352e-06,2362.5553746068017,550854910.0808495,1574.3702497378679
1.5,3.112796180705332e-06,2265.1729372844984,485559778.1023536,1509.4486248563323
1.5,3.385948632985606e-06,2171.801122509114,428004350.67565036,1447.2007483394093
1.5,3.6830706155066364e-06,2082.2747558030296,377271208.3127319,1387.5165038686864
1.5,4.006265489871691e-06,1996.4354652754394,332551677.087045,1330.2903101836262
1.5,4.357821190764496e-06,1914.1314014629286,293132938.56816226,1275.420934308619
1.5,4.740226422509076e-06,1835.216968708193,258386667.66969875,1222.8113124721287
1.5,5.156188276901584e-06,1759.5525676017292,227759017.30054477,1172.3683784011528
1.5,5.6086513970328115e-06,1687.0043480308748,200761790.17719784,1124.0028986872499
