alpha,type,delta,D_true,D_stable,D_raw32,rel_stable,rel_raw32,rel_gap32
1.5,I,0.0005623413251903491,0.5661607368954616,0.5637230803624005,0.5637233242112493,0.004305590928873015,0.004305160222833389,4.307060396259013e-07
1.5,I,0.0006812920690579609,0.5661607368954616,0.5634774597512794,0.5634776847984154,0.004739426401936652,0.004739028905039796,3.974968968560125e-07
1.5,I,0.0008254041852680181,0.5661607368954616,0.5632072171871951,0.5632074271326611,0.005216751208256017,0.005216380385179936,3.7082307608133673e-07
1.5,I,0.001,0.5661607368954616,0.5629099561582233,0.5629101518990026,0.0057417982657434405,0.005741452532161779,3.4573358166136796e-07
1.5,I,0.0012115276586285877,0.5661607368954616,0.5625825796150354,0.5625827602053094,0.006320037839513577,0.006319718866009786,3.1897350379219286e-07
1.5,I,0.0014677992676220691,0.5661607368954616,0.5622218618624195,0.5622220263524285,0.006957167419699441,0.006956876883817619,2.9053588182219545e-07
1.5,I,0.0017782794100389228,0.5661607368954616,0.5618251959493866,0.561825345078971,0.007657791619123803,0.007657528214096521,2.634050272822636e-07
1.5,I,0.002154434690031882,0.5661607368954616,0.5613882628482219,0.5613883967120272,0.008429539062368792,0.008429302621025106,2.3644134368602852e-07
1.5,I,0.0026101572156825357,0.5661607368954616,0.5609073761413546,0.5609074956604625,0.00927892100556789,0.009278709901017266,2.1110455062519191e-07
1.5,I,0.0031622776601683794,0.5661607368954616,0.5603779616564561,0.5603780689481431,0.010214016730858637,0.010213827223391963,1.895074666739508e-07
1.5,I,0.003831186849557285,0.5661607368954616,0.5597949250862981,0.5597950220650826,0.011243824225732071,0.011243652933768274,1.712919637966211e-07
1.5,I,0.004641588833612777,0.5661607368954616,0.5591530482789187,0.5591531361813928,0.012377560222507845,0.0123774049618752,1.5526063264374694e-07
1.5,I,0.005623413251903491,0.5661607368954616,0.5584463266661484,0.5584464060927486,0.01362583048696596,0.013625690197124013,1.4028984194902143e-07
1.5,I,0.006812920690579608,0.5661607368954616,0.5576679529591015,0.5576680249349149,0.015000658616721153,0.015000531487076479,1.271296446731728e-07
1.5,I,0.008254041852680182,0.5661607368954616,0.5568107714494129,0.5568108367855001,0.016514683616739623,0.016514568214729297,1.1540201032912897e-07
1.5,I,0.01,0.5661607368954616,0.5558666056122226,0.5558666648802458,0.018182347542655252,0.01818224285856219,1.0468409305799077e-07
1.5,I,0.012115276586285877,0.5661607368954616,0.5548264423599694,0.5548264958007407,0.020019570056453946,0.020019475664935987,9.439151795787345e-08
1.5,I,0.014677992676220676,0.5661607368954616,0.5536802884985758,0.5536803363200987,0.022044001965453027,0.022043917499117147,8.446633587842176e-08
1.5,I,0.01778279410038923,0.5661607368954616,0.5524172257630328,0.5524172684957973,0.02427492801389113,0.024274852535741968,7.547814916212806e-08
1.5,I,0.021544346900318822,0.5661607368954616,0.5510247181363123,0.5510247568058858,0.026734490353654043,0.02673442205224947,6.830140457161326e-08
1.5,I,0.026101572156825334,0.5661607368954616,0.5494891033635817,0.549489138308107,0.029446820391146745,0.02944675866923105,6.172191569665379e-08
1.5,I,0.03162277660168379,0.5661607368954616,0.5477950957087132,0.5477951274454332,0.03243891705994361,0.0324388610039193,5.605602430820361e-08
1.5,I,0.03831186849557285,0.5661607368954616,0.5459252539536714,0.5459252818078225,0.03574158648434604,0.035741537286036656,4.919830938732716e-08
1.5,I,0.046415888336127725,0.5661607368954616,0.5438602403732604,0.5438602659680208,0.039388984556728256,0.03938893934914187,4.520758638710275e-08
1.5,I,0.05623413251903491,0.5661607368954616,0.5415780156780292,0.5415780378630127,0.043420038896076776,0.04341999971112086,3.9184955916523675e-08
1.5,I,0.06812920690579609,0.5661607368954616,0.539053518069208,0.5390535383877223,0.04787901572775234,0.04787897983950897,3.588824337574993e-08
1.5,I,0.08254041852680173,0.5661607368954616,0.5362580335870933,0.5362580515923275,0.05281663202633861,0.05281660022400224,3.180233636690865e-08
1.5,I,0.1,0.5661607368954616,0.5331584542723858,0.5331584683820506,0.058291365812549255,0.05829134089089035,2.492165890425468e-08
1.5,II,1e-06,0.5661607368954616,0.5660629669303009,3.7522900841979014,0.00017268941272203955,5.627605624461982,5.627778313874703
1.5,II,1.2115276586285875e-06,0.5661607368954616,0.5660555369268547,3.055856533969651,0.00018581290038546374,4.397506988433035,4.397692801333421
1.5,II,1.4677992676220705e-06,0.5661607368954616,0.5660504749244338,2.581381893882995,0.00019475382844885152,3.55945056882253,3.5596453226509785
1.5,II,1.778279410038923e-06,0.5661607368954616,0.5660426751684196,2.212356638616259,0.0002085304037321388,2.9076475891770617,2.9078561195807935
1.5,II,2.1544346900318822e-06,0.5661607368954616,0.5660224172770698,1.8037450270852713,0.00024431156980314503,2.1859239073625876,2.186168218932391
